tip_x,tip_y,tip_position,crack_length,crack_area,ctod_10px,ctod_20px,ctod_30px,ctod_40px,ctod_50px,ctod,crack_width,tip_radius,frame
119.33999999999999,98.1,"(98.1, np.float64(119.33999999999999))",7.02,28.674,4.68,5.04,3.5999999999999996,0.0,0.0,5.04,5.22,3.0017964410037563,0
120.06,98.1,"(98.1, np.float64(120.06))",5.9399999999999995,22.258799999999997,4.14,4.32,1.98,0.0,0.0,4.32,4.68,2.59715639008521,1
119.69999999999999,98.28,"(98.28, np.float64(119.69999999999999))",6.84,26.5032,4.32,4.68,2.88,0.0,0.0,4.68,4.859999999999999,2.9900447351735786,2
120.6,96.84,"(96.84, np.float64(120.6))",4.859999999999999,15.584399999999999,3.5999999999999996,3.06,0.0,0.0,0.0,3.06,3.96,2.253165968668737,3
119.33999999999999,98.64,"(98.64, np.float64(119.33999999999999))",6.66,26.0172,4.14,4.68,3.42,0.0,0.0,4.68,5.04,3.017563712821253,4
118.61999999999999,99.17999999999999,"(99.17999999999999, np.float64(118.61999999999999))",7.92,33.3072,4.5,5.3999999999999995,4.68,2.16,0.0,5.3999999999999995,5.3999999999999995,3.751931338396872,5
118.61999999999999,99.89999999999999,"(99.89999999999999, np.float64(118.61999999999999))",8.28,36.0288,4.859999999999999,5.58,4.859999999999999,2.6999999999999997,0.0,5.58,5.58,3.667198875031869,6
120.06,99.0,"(99.0, np.float64(120.06))",5.3999999999999995,15.6816,3.42,3.42,0.54,0.0,0.0,3.42,4.14,2.704411795710654,7
119.33999999999999,99.72,"(99.72, np.float64(119.33999999999999))",6.4799999999999995,23.133599999999998,3.96,4.5,3.06,0.0,0.0,4.5,4.68,2.8623564645185255,8
119.88,99.89999999999999,"(99.89999999999999, np.float64(119.88))",3.96,10.8864,3.06,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998,3.2399999999999998,1.8540238020694582,9
119.16,99.89999999999999,"(99.89999999999999, np.float64(119.16))",6.66,26.1468,4.14,4.859999999999999,3.06,0.0,0.0,4.859999999999999,5.22,2.7709827373321585,10
120.06,100.25999999999999,"(100.25999999999999, np.float64(120.06))",5.3999999999999995,17.6256,3.78,3.5999999999999996,0.54,0.0,0.0,3.5999999999999996,3.96,2.8866803162685084,11
119.16,100.44,"(100.44, np.float64(119.16))",6.84,27.701999999999998,4.32,5.04,3.2399999999999998,0.0,0.0,5.04,5.22,2.859685814998058,12
119.52,100.25999999999999,"(100.25999999999999, np.float64(119.52))",5.76,19.0188,3.96,3.78,1.44,0.0,0.0,3.78,4.14,3.0102137535291513,13
118.8,100.97999999999999,"(100.97999999999999, np.float64(118.8))",7.739999999999999,32.6592,4.68,5.3999999999999995,4.14,1.7999999999999998,0.0,5.3999999999999995,5.3999999999999995,3.541261165934132,14
119.52,100.8,"(100.8, np.float64(119.52))",5.9399999999999995,23.0364,4.14,4.5,2.34,0.0,0.0,4.5,4.859999999999999,2.787072441154477,15
118.25999999999999,101.52,"(101.52, np.float64(118.25999999999999))",8.1,38.07,5.04,5.9399999999999995,5.3999999999999995,2.6999999999999997,0.0,5.9399999999999995,5.9399999999999995,4.459748538899855,16
118.61999999999999,101.16,"(101.16, np.float64(118.61999999999999))",7.199999999999999,28.511999999999997,4.32,4.859999999999999,3.78,0.36,0.0,4.859999999999999,5.04,3.8006351201661652,17
118.61999999999999,101.88,"(101.88, np.float64(118.61999999999999))",7.199999999999999,28.3176,4.32,5.04,3.5999999999999996,0.36,0.0,5.04,5.04,2.9729796054980873,18
118.8,101.33999999999999,"(101.33999999999999, np.float64(118.8))",6.84,25.3692,4.14,4.68,3.06,0.0,0.0,4.68,4.859999999999999,2.924900656469906,19
118.97999999999999,101.88,"(101.88, np.float64(118.97999999999999))",6.66,24.040799999999997,4.14,4.5,2.6999999999999997,0.0,0.0,4.5,4.68,2.7406098894244213,20
118.97999999999999,101.88,"(101.88, np.float64(118.97999999999999))",6.66,23.133599999999998,3.78,4.14,2.6999999999999997,0.0,0.0,4.14,4.68,2.845613048774855,21
119.52,102.06,"(102.06, np.float64(119.52))",6.66,24.040799999999997,4.32,4.5,2.52,0.0,0.0,4.5,4.68,2.800712352213182,22
118.8,102.42,"(102.42, np.float64(118.8))",6.3,23.6844,4.14,4.5,2.16,0.0,0.0,4.5,4.5,2.846024720788829,23
118.44,103.32,"(103.32, np.float64(118.44))",7.92,32.238,4.5,5.22,4.14,1.7999999999999998,0.0,5.22,5.22,3.3276578206533496,24
119.33999999999999,102.78,"(102.78, np.float64(119.33999999999999))",6.3,22.744799999999998,4.14,4.14,2.34,0.0,0.0,4.14,4.5,2.9832613199993894,25
118.97999999999999,104.22,"(104.22, np.float64(118.97999999999999))",7.56,28.220399999999998,4.32,4.859999999999999,3.2399999999999998,1.08,0.0,4.859999999999999,5.22,2.7260508033584454,26
118.97999999999999,103.67999999999999,"(103.67999999999999, np.float64(118.97999999999999))",7.38,28.382399999999997,4.32,4.859999999999999,3.06,0.54,0.0,4.859999999999999,5.04,2.9301265148621636,27
118.44,104.03999999999999,"(104.03999999999999, np.float64(118.44))",7.199999999999999,28.8036,4.5,4.859999999999999,3.42,0.18,0.0,4.859999999999999,5.04,3.1781091662471446,28
118.08,103.67999999999999,"(103.67999999999999, np.float64(118.08))",7.92,31.104,4.32,4.859999999999999,4.14,1.98,0.0,4.859999999999999,5.04,3.5172190829810055,29
118.25999999999999,104.03999999999999,"(104.03999999999999, np.float64(118.25999999999999))",7.56,30.002399999999998,4.5,5.04,3.78,1.7999999999999998,0.0,5.04,5.04,2.990679051345543,30
