tip_x,tip_y,tip_position,crack_length,crack_area,ctod_10px,ctod_20px,ctod_30px,ctod_40px,ctod_50px,ctod,crack_width,tip_radius,frame
212.94,89.46,"(89.46, np.float64(212.94))",77.49,524.3049000000001,8.82,6.93,8.19,8.82,6.93,6.93,11.34,25.03920286152801,34
214.2,89.46,"(89.46, np.float64(214.2))",76.86,435.79620000000006,5.04,2.52,5.04,5.67,6.3,2.52,8.82,17.27866831594276,35
214.83,90.72,"(90.72, np.float64(214.83))",76.23,471.12030000000004,6.3,3.7800000000000002,5.67,7.5600000000000005,7.5600000000000005,3.7800000000000002,10.71,22.872878457721523,36
213.57,89.46,"(89.46, np.float64(213.57))",81.9,551.2941000000001,5.67,5.04,6.3,8.19,8.19,5.04,10.71,21.549832923784336,37
214.2,89.46,"(89.46, np.float64(214.2))",81.27,588.9996000000001,5.04,5.67,8.19,8.82,9.45,5.67,11.97,16.26018648438458,38
214.2,89.46,"(89.46, np.float64(214.2))",81.9,601.7004000000001,5.67,5.67,6.3,7.5600000000000005,8.19,5.67,10.71,21.773270697745513,39
213.57,89.46,"(89.46, np.float64(213.57))",81.27,585.8244000000001,5.67,5.04,6.93,8.82,8.82,5.04,11.34,21.656187813329655,40
214.2,90.72,"(90.72, np.float64(214.2))",77.49,567.1701,6.93,6.3,8.19,8.82,8.82,6.3,11.97,22.83720985610279,41
214.2,90.09,"(90.09, np.float64(214.2))",77.49,536.6088000000001,5.04,5.04,6.93,8.19,8.82,5.04,10.71,16.584736195977086,42
212.31,90.72,"(90.72, np.float64(212.31))",78.75,579.474,8.19,6.93,8.19,9.45,8.82,6.93,11.97,22.129194440401267,43
213.57,90.09,"(90.09, np.float64(213.57))",82.53,629.8803,7.5600000000000005,5.04,6.93,8.82,8.19,5.04,11.97,22.345834635232155,44
212.94,89.46,"(89.46, np.float64(212.94))",82.53,614.4012,7.5600000000000005,5.67,6.93,8.82,8.19,5.67,12.6,13.860367463980683,45
212.94,90.72,"(90.72, np.float64(212.94))",80.01,561.6135,7.5600000000000005,6.3,7.5600000000000005,8.19,8.19,6.3,10.71,22.592848738882946,46
212.94,90.72,"(90.72, np.float64(212.94))",80.01,657.2664000000001,8.82,7.5600000000000005,8.82,10.71,10.71,7.5600000000000005,13.23,23.55681601608669,47
212.94,90.09,"(90.09, np.float64(212.94))",77.49,628.2927000000001,9.45,8.19,8.19,9.45,8.82,8.19,12.6,18.0402931090812,48
212.31,90.09,"(90.09, np.float64(212.31))",82.53,686.6370000000001,9.45,6.93,8.82,10.71,10.71,6.93,13.86,15.484424558708461,49
213.57,89.46,"(89.46, np.float64(213.57))",77.49,590.1903000000001,6.3,6.93,8.82,9.45,8.82,6.93,10.71,16.004904032228975,50
212.31,89.46,"(89.46, np.float64(212.31))",81.9,664.4106,8.82,7.5600000000000005,8.19,10.08,10.08,7.5600000000000005,11.97,25.0818414961572,51
212.94,89.46,"(89.46, np.float64(212.94))",80.64,500.09400000000005,6.3,3.7800000000000002,5.67,6.93,6.3,3.7800000000000002,10.08,21.955241212616123,52
214.83,90.09,"(90.09, np.float64(214.83))",73.71,530.2584,5.04,6.3,8.19,8.19,8.82,6.3,10.71,16.46920241456833,53
213.57,89.46,"(89.46, np.float64(213.57))",78.75,573.9174,5.67,6.3,7.5600000000000005,8.82,8.82,6.3,11.34,16.14844439640139,54
213.57,89.46,"(89.46, np.float64(213.57))",78.75,546.1344,6.3,5.04,6.93,7.5600000000000005,8.19,5.04,10.71,21.87697765381655,55
213.57,90.09,"(90.09, np.float64(213.57))",79.38,595.7469000000001,8.19,5.04,6.3,9.45,8.19,5.04,11.34,22.45618656192755,56
212.94,90.09,"(90.09, np.float64(212.94))",76.86,565.9794,8.19,5.67,7.5600000000000005,8.82,8.82,5.67,11.97,21.693127399237664,57
214.2,89.46,"(89.46, np.float64(214.2))",77.49,538.9902000000001,5.67,5.04,7.5600000000000005,9.45,8.82,5.04,11.34,16.557754884089913,58
212.31,90.09,"(90.09, np.float64(212.31))",81.9,647.3439000000001,8.82,6.93,6.93,8.82,9.45,6.93,12.6,14.85040552591397,59
212.94,89.46,"(89.46, np.float64(212.94))",77.49,588.9996000000001,8.19,6.93,8.19,8.82,8.82,6.93,11.97,24.883969549619096,60
212.94,90.72,"(90.72, np.float64(212.94))",82.53,636.6276,8.19,6.93,8.19,8.82,8.82,6.93,11.97,20.857155352259532,61
212.94,90.09,"(90.09, np.float64(212.94))",82.53,646.1532000000001,6.93,5.67,8.82,10.08,9.45,5.67,13.23,16.61394707915106,62
214.83,89.46,"(89.46, np.float64(214.83))",76.23,486.59940000000006,4.41,2.52,6.3,8.19,8.82,2.52,10.71,17.049253771851017,63
213.57,90.72,"(90.72, np.float64(213.57))",82.53,658.0602,6.3,5.67,6.93,8.82,10.71,5.67,13.86,22.402388111568953,64
215.46,89.46,"(89.46, np.float64(215.46))",78.75,506.84130000000005,4.41,5.04,6.3,7.5600000000000005,6.3,5.04,9.45,16.230521109645874,65
212.94,89.46,"(89.46, np.float64(212.94))",81.9,636.2307000000001,8.19,6.93,7.5600000000000005,8.82,8.82,6.93,12.6,24.85464076324983,66
212.94,90.09,"(90.09, np.float64(212.94))",81.27,714.0231,8.82,8.82,9.45,8.82,10.71,8.82,13.86,15.277384460947124,67
