tip_x,tip_y,tip_position,crack_length,crack_area,ctod_10px,ctod_20px,ctod_30px,ctod_40px,ctod_50px,ctod,crack_width,tip_radius,frame
97.2,174.0,"(174.0, np.float64(97.2))",13.200000000000001,73.12000000000002,10.0,14.4,0.0,0.0,0.0,14.4,18.8,6.20255880305491,0
96.4,173.20000000000002,"(173.20000000000002, np.float64(96.4))",14.8,97.76000000000002,10.4,15.600000000000001,5.2,0.0,0.0,15.600000000000001,20.0,5.83288078534238,1
96.4,174.0,"(174.0, np.float64(96.4))",17.2,118.40000000000002,9.200000000000001,15.600000000000001,6.0,0.8,0.0,15.600000000000001,24.0,4.846305928398671,2
96.4,174.0,"(174.0, np.float64(96.4))",15.600000000000001,101.44000000000003,9.200000000000001,15.600000000000001,5.2,0.0,0.0,15.600000000000001,21.6,5.231185395556046,3
97.2,173.60000000000002,"(173.60000000000002, np.float64(97.2))",16.400000000000002,101.12000000000002,11.200000000000001,15.600000000000001,5.2,2.0,0.0,15.600000000000001,23.6,5.655328276954291,4
97.2,174.0,"(174.0, np.float64(97.2))",14.8,106.08000000000003,11.200000000000001,15.600000000000001,4.800000000000001,0.0,0.0,15.600000000000001,21.200000000000003,5.501045228431593,5
95.60000000000001,174.0,"(174.0, np.float64(95.60000000000001))",14.8,91.52000000000002,7.6000000000000005,13.600000000000001,4.0,0.0,0.0,13.600000000000001,19.200000000000003,5.145414867695105,6
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",15.600000000000001,119.20000000000002,9.200000000000001,14.4,6.0,0.0,0.0,14.4,20.8,4.848939057226924,7
95.60000000000001,173.20000000000002,"(173.20000000000002, np.float64(95.60000000000001))",15.600000000000001,106.56000000000002,8.4,14.4,4.800000000000001,0.0,0.0,14.4,20.0,4.96946058754488,8
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",17.2,123.20000000000002,8.4,14.4,5.6000000000000005,0.8,0.0,14.4,21.6,10.637232916792053,9
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",14.8,108.32000000000002,8.8,14.4,4.800000000000001,0.0,0.0,14.4,20.0,10.64390312143274,10
94.80000000000001,173.20000000000002,"(173.20000000000002, np.float64(94.80000000000001))",16.400000000000002,112.80000000000003,8.0,14.0,5.6000000000000005,0.0,0.0,14.0,19.6,10.253847593391214,11
95.2,173.60000000000002,"(173.60000000000002, np.float64(95.2))",18.400000000000002,142.08000000000004,8.4,14.8,18.0,3.6,0.0,14.8,22.8,11.12308528251744,12
94.80000000000001,173.60000000000002,"(173.60000000000002, np.float64(94.80000000000001))",15.600000000000001,105.92000000000002,7.6000000000000005,13.600000000000001,5.2,0.0,0.0,13.600000000000001,19.200000000000003,10.227083869020152,13
94.80000000000001,173.60000000000002,"(173.60000000000002, np.float64(94.80000000000001))",17.2,142.24000000000004,8.4,14.0,17.6,2.8000000000000003,0.0,14.0,22.400000000000002,10.99139403368845,14
95.2,174.0,"(174.0, np.float64(95.2))",16.0,119.04000000000002,7.6000000000000005,13.600000000000001,17.2,2.0,0.0,13.600000000000001,20.0,10.467384414770347,15
94.80000000000001,173.60000000000002,"(173.60000000000002, np.float64(94.80000000000001))",18.0,123.04000000000002,7.6000000000000005,14.0,6.4,3.2,0.0,14.0,22.400000000000002,4.749505451099895,16
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",14.4,91.52000000000002,7.6000000000000005,13.600000000000001,4.4,0.0,0.0,13.600000000000001,18.400000000000002,5.000035593803954,17
94.80000000000001,173.60000000000002,"(173.60000000000002, np.float64(94.80000000000001))",16.8,118.72000000000003,7.6000000000000005,13.600000000000001,6.0,1.2000000000000002,0.0,13.600000000000001,21.200000000000003,10.170425656056603,18
95.60000000000001,173.20000000000002,"(173.20000000000002, np.float64(95.60000000000001))",14.8,112.16000000000003,9.200000000000001,14.4,4.800000000000001,0.0,0.0,14.4,19.6,4.8337129246605315,19
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",15.600000000000001,106.24000000000002,8.4,14.4,5.2,0.0,0.0,14.4,19.200000000000003,4.7409809367645686,20
94.80000000000001,174.0,"(174.0, np.float64(94.80000000000001))",16.8,124.32000000000002,7.2,14.0,17.2,2.8000000000000003,0.0,14.0,21.6,10.14871695444269,21
95.2,174.0,"(174.0, np.float64(95.2))",17.6,137.28000000000003,8.0,14.4,17.6,4.800000000000001,0.0,14.4,22.8,10.519859256781354,22
95.60000000000001,173.20000000000002,"(173.20000000000002, np.float64(95.60000000000001))",16.0,102.40000000000002,8.4,14.4,5.2,0.4,0.0,14.4,20.8,5.738174619764759,23
95.2,173.60000000000002,"(173.60000000000002, np.float64(95.2))",19.200000000000003,148.80000000000004,8.4,14.8,18.400000000000002,5.2,0.0,14.8,24.8,10.738321499397065,24
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",15.600000000000001,106.40000000000002,8.4,14.8,5.2,0.0,0.0,14.8,20.0,4.844699807794646,25
95.60000000000001,174.0,"(174.0, np.float64(95.60000000000001))",17.6,131.52000000000004,9.200000000000001,15.600000000000001,6.4,1.6,0.0,15.600000000000001,24.0,10.879905990261904,26
95.2,173.60000000000002,"(173.60000000000002, np.float64(95.2))",16.0,113.92000000000002,7.2,14.0,17.2,2.8000000000000003,0.0,14.0,21.200000000000003,8.490891910283123,27
95.2,173.60000000000002,"(173.60000000000002, np.float64(95.2))",16.0,118.56000000000002,7.6000000000000005,14.4,17.2,0.8,0.0,14.4,20.400000000000002,10.494443045810442,28
94.80000000000001,173.60000000000002,"(173.60000000000002, np.float64(94.80000000000001))",18.0,130.40000000000003,7.2,14.0,5.6000000000000005,3.6,0.0,14.0,22.400000000000002,10.973239781506685,29
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",15.600000000000001,110.56000000000002,8.4,14.8,5.2,0.0,0.0,14.8,21.200000000000003,5.080206929287638,30
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",15.600000000000001,120.64000000000003,10.0,15.600000000000001,5.2,0.0,0.0,15.600000000000001,20.0,4.815194605976669,31
95.60000000000001,173.60000000000002,"(173.60000000000002, np.float64(95.60000000000001))",15.600000000000001,125.44000000000003,9.200000000000001,15.600000000000001,17.6,0.0,0.0,15.600000000000001,20.8,10.620088176925208,32
